epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.2964,1.98991,3.68816,1.62131,0.00884,1,0.02585,0.00865,1.39746,3.47991,1.40893,6.668e-05,6.668e-05,6.668e-05
2,6.32937,1.9358,3.73652,1.67295,0.00831,1,0.06226,0.02293,1.14211,3.45015,1.23768,0.000147059,0.000147059,0.000147059
3,9.37665,1.59733,3.43536,1.47135,0.00819,1,0.08492,0.04155,0.99641,3.44494,1.16994,0.000224138,0.000224138,0.000224138
4,12.1401,1.53161,3.30211,1.41965,0.00792,1,0.22838,0.13722,1.07919,3.25747,1.06607,0.000297916,0.000297916,0.000297916
5,15.3712,1.7701,3.21371,1.44476,0.00787,1,0.32282,0.21174,1.13492,3.16782,1.04123,0.000368394,0.000368394,0.000368394
6,18.7663,1.63114,2.94806,1.37322,0.00789,1,0.34574,0.1957,1.27701,3.04169,1.07626,0.00043557,0.00043557,0.00043557
7,21.7446,1.57213,2.74056,1.31465,0.00805,1,0.40002,0.24498,1.28245,2.78435,1.10404,0.000499447,0.000499447,0.000499447
8,24.6092,1.58073,2.38681,1.30627,0.00805,1,0.40002,0.24498,1.28245,2.78435,1.10404,0.000560022,0.000560022,0.000560022
9,27.7209,1.58263,2.36766,1.3134,0.02217,1,0.55521,0.33252,1.25632,2.42167,1.1133,0.000617297,0.000617297,0.000617297
10,30.8213,1.63694,2.28107,1.29826,0.911,0.46599,0.91208,0.61602,1.21559,1.96398,1.08377,0.000671271,0.000671271,0.000671271
11,33.793,1.6209,2.09046,1.29277,0.911,0.46599,0.91208,0.61602,1.21559,1.96398,1.08377,0.000721944,0.000721944,0.000721944
12,36.8477,1.42423,2.00356,1.18815,0.77013,0.88556,0.91208,0.58418,1.3458,1.67629,1.2295,0.000769317,0.000769317,0.000769317
13,39.8152,1.49721,1.95403,1.19134,0.77013,0.88556,0.91208,0.58418,1.3458,1.67629,1.2295,0.000813389,0.000813389,0.000813389
14,42.7088,1.66808,2.01559,1.30051,0.77013,0.88556,0.91208,0.58418,1.3458,1.67629,1.2295,0.000854161,0.000854161,0.000854161
15,46.0735,1.51465,1.76806,1.29803,0.73607,0.8,0.88786,0.60318,1.36953,1.51116,1.29924,0.000891632,0.000891632,0.000891632
16,49.2367,1.54764,1.72616,1.20887,0.73607,0.8,0.88786,0.60318,1.36953,1.51116,1.29924,0.000925802,0.000925802,0.000925802
17,52.1031,1.36955,1.68667,1.1884,0.73607,0.8,0.88786,0.60318,1.36953,1.51116,1.29924,0.000956671,0.000956671,0.000956671
18,55.281,1.6099,1.80142,1.27579,0.51311,1,0.69768,0.44534,1.29059,1.41363,1.21081,0.00098424,0.00098424,0.00098424
19,58.2774,1.45717,1.75185,1.33251,0.51311,1,0.69768,0.44534,1.29059,1.41363,1.21081,0.00100851,0.00100851,0.00100851
20,61.2447,1.55498,1.70937,1.22802,0.51311,1,0.69768,0.44534,1.29059,1.41363,1.21081,0.00102948,0.00102948,0.00102948
21,64.2405,1.37319,1.67929,1.18916,0.4388,0.90411,0.61333,0.38874,1.23382,1.37718,1.15461,0.00100687,0.00100687,0.00100687
22,67.237,1.50071,1.91579,1.20223,0.4388,0.90411,0.61333,0.38874,1.23382,1.37718,1.15461,0.000973861,0.000973861,0.000973861
23,70.1994,1.34516,1.6482,1.15677,0.4388,0.90411,0.61333,0.38874,1.23382,1.37718,1.15461,0.000940855,0.000940855,0.000940855
24,72.7808,1.42579,1.61234,1.16136,0.47604,0.96748,0.57188,0.40397,1.15672,1.29706,1.11812,0.000907848,0.000907848,0.000907848
